Cleaning,Stemming,Stopword,Token,Train Accuracy,Test Accuracy,F1 Score Train,F1 Score Test,Confusion Matrix Train,Confusion Matrix Test
NO,NO,NO,Unigrams,0.9268583333333333,0.8597368421052631,0.9267030674858986,0.8567756151961279,"[[27476   810  1096   618]
 [  234 29539   111   116]
 [  823   225 26815  2137]
 [  801   134  1672 27393]]","[[1709   64   68   59]
 [  34 1845    6   15]
 [ 174   30 1269  427]
 [  75   24   90 1711]]"
NO,NO,NO,Bigrams,0.9743916666666667,0.7581578947368421,0.9743609861067072,0.7184642391458083,"[[28649   562   601   188]
 [   42 29921    28     9]
 [  184    28 29200   588]
 [  176    20   647 29157]]","[[1734   66   18   82]
 [  30 1854    0   16]
 [ 483   59  430  928]
 [  89   40   27 1744]]"
NO,NO,NO,Both,0.9624,0.7784210526315789,0.9623445295418058,0.7488792931586412,"[[28261   667   785   287]
 [   79 29855    41    25]
 [  349    72 28629   950]
 [  316    27   914 28743]]","[[1732   69   23   76]
 [  32 1856    0   12]
 [ 416   38  560  886]
 [  77   24   31 1768]]"
NO,NO,YES,Unigrams,0.9227166666666666,0.8726315789473684,0.9225556109531986,0.8710879037520922,"[[27335   856  1145   664]
 [  242 29508   117   133]
 [  864   214 26675  2247]
 [  854   138  1800 27208]]","[[1706   61   76   57]
 [  34 1846    9   11]
 [ 129   24 1379  368]
 [  72   18  109 1701]]"
NO,NO,YES,Bigrams,0.9829166666666667,0.7490789473684211,0.9828968622395944,0.7011882055718274,"[[28980   422   457   141]
 [   19 29963    13     5]
 [   97    15 29471   417]
 [   81     6   377 29536]]","[[1734   69   19   78]
 [  24 1854    1   21]
 [ 534   86  350  930]
 [  85   41   19 1755]]"
NO,NO,YES,Both,0.96755,0.7697368421052632,0.9674972864355259,0.7321032978290085,"[[28332   659   760   249]
 [   49 29898    31    22]
 [  261    53 28877   809]
 [  239    18   744 28999]]","[[1741   64   26   69]
 [  25 1864    0   11]
 [ 469   33  458  940]
 [  72   20   21 1787]]"
NO,YES,NO,Unigrams,0.921,0.8593421052631579,0.920830533591922,0.8568477488569309,"[[27300   861  1170   669]
 [  246 29461   139   154]
 [  883   258 26607  2252]
 [  875   166  1807 27152]]","[[1704   65   64   67]
 [  35 1837    7   21]
 [ 161   27 1284  428]
 [  78   22   94 1706]]"
NO,YES,NO,Bigrams,0.9712,0.7630263157894737,0.9711637346947292,0.7271030984017935,"[[28509   588   680   223]
 [   53 29899    34    14]
 [  221    41 29059   679]
 [  196    23   704 29077]]","[[1725   69   19   87]
 [  35 1848    0   17]
 [ 448   50  470  932]
 [  80   33   31 1756]]"
NO,YES,NO,Both,0.959,0.7819736842105263,0.9589354730689124,0.754698950176184,"[[28134   694   836   336]
 [   91 29831    49    29]
 [  393    91 28451  1065]
 [  328    35   973 28664]]","[[1729   67   25   79]
 [  29 1853    0   18]
 [ 402   33  590  875]
 [  70   24   35 1771]]"
NO,YES,YES,Unigrams,0.9176833333333333,0.8706578947368421,0.9174955530235606,0.8691735815931698,"[[27166   902  1233   699]
 [  266 29455   132   147]
 [  923   255 26546  2276]
 [  900   203  1942 26955]]","[[1702   64   77   57]
 [  32 1845    8   15]
 [ 129   22 1378  371]
 [  78   17  113 1692]]"
