Cleaning,Stemming,Stopword,Token,Train Accuracy,Test Accuracy,F1 Score Train,F1 Score Test,Confusion Matrix Train,Confusion Matrix Test
NO,NO,NO,Unigrams,0.9156333333333333,0.8339473684210527,0.9154865849454402,0.8308999991488989,"[[27200  1016  1063   721]
 [  459 28945   290   306]
 [  819   495 26585  2101]
 [  812   410  1632 27146]]","[[1661   84   78   77]
 [  49 1787   20   44]
 [ 205   94 1254  347]
 [  89   56  119 1636]]"
NO,NO,NO,Bigrams,0.9813166666666666,0.628421052631579,0.9813228450191506,0.5927469042169055,"[[29206   271   362   161]
 [   62 29788   129    21]
 [   79    72 29324   525]
 [   87    49   424 29440]]","[[1458  154   20  268]
 [ 111 1381    7  401]
 [ 415  415  349  721]
 [ 136  131   45 1588]]"
NO,NO,NO,Both,0.966625,0.7363157894736843,0.9665896215247313,0.6963230410589241,"[[28488   570   650   292]
 [  119 29748    67    66]
 [  218   158 28736   888]
 [  237    79   661 29023]]","[[1694   91   22   93]
 [  66 1781    2   51]
 [ 558  173  424  745]
 [ 110   55   38 1697]]"
NO,NO,YES,Unigrams,0.9114833333333333,0.84,0.9113629707444092,0.8379582543867213,"[[27138   980  1127   755]
 [  506 28829   313   352]
 [  888   467 26432  2213]
 [  856   401  1764 26979]]","[[1656   80   90   74]
 [  57 1779   22   42]
 [ 184   78 1320  318]
 [  89   53  129 1629]]"
NO,NO,YES,Bigrams,0.9846833333333334,0.594078947368421,0.9846935591880032,0.563420454618982,"[[29304   209   326   161]
 [   31 29839   118    12]
 [   43    27 29452   478]
 [   56    16   361 29567]]","[[1344  116   18  422]
 [  73 1155    7  665]
 [ 326  439  341  794]
 [  86   92   47 1675]]"
NO,NO,YES,Both,0.967625,0.7407894736842106,0.96759847609329,0.6994699845040451,"[[28515   556   650   279]
 [  101 29748    74    77]
 [  191   127 28790   892]
 [  220    68   650 29062]]","[[1709   78   21   92]
 [  63 1788    2   47]
 [ 564  149  411  776]
 [  99   43   36 1722]]"
NO,YES,NO,Unigrams,0.8982083333333334,0.8427631578947369,0.8980432997049677,0.8408189875449567,"[[26832  1134  1213   821]
 [  606 28536   406   452]
 [  978   642 25960  2420]
 [ 1038   519  1986 26457]]","[[1681   71   80   68]
 [  57 1766   27   50]
 [ 174   89 1332  305]
 [  95   62  117 1626]]"
NO,YES,NO,Bigrams,0.972175,0.6746052631578947,0.9721848546777462,0.6446291247542221,"[[28886   378   524   212]
 [  111 29658   179    52]
 [  146   140 29000   714]
 [  152    91   640 29117]]","[[1551  132   23  194]
 [ 113 1498    8  281]
 [ 437  324  462  677]
 [ 116  113   55 1616]]"
NO,YES,NO,Both,0.9550583333333333,0.7573684210526316,0.955007879173395,0.7282810746829845,"[[28169   696   776   359]
 [  199 29578   109   114]
 [  321   260 28258  1161]
 [  343   144   911 28602]]","[[1705   84   24   87]
 [  56 1785    6   53]
 [ 474  159  568  699]
 [ 102   57   43 1698]]"
NO,YES,YES,Unigrams,0.8928833333333334,0.8467105263157895,0.8927279907309208,0.8452856024847923,"[[26756  1087  1304   853]
 [  676 28430   445   449]
 [ 1075   595 25795  2535]
 [ 1128   566  2141 26165]]","[[1682   72   90   56]
 [  57 1767   29   47]
 [ 154   73 1377  296]
 [  97   57  137 1609]]"
NO,YES,YES,Bigrams,0.9771833333333333,0.6413157894736842,0.9772056672033108,0.614643494165997,"[[29021   311   487   181]
 [   44 29730   196    30]
 [   81    66 29208   645]
 [  100    46   551 29303]]","[[1470  112   21  297]
 [  81 1303   11  505]
 [ 364  366  441  729]
 [  85   97   58 1660]]"
NO,YES,YES,Both,0.9567166666666667,0.7552631578947369,0.9566819485688302,0.7234849195616468,"[[28205   655   792   348]
 [  173 29580   124   123]
 [  314   197 28361  1128]
 [  308   143   889 28660]]","[[1715   73   24   88]
 [  56 1796    3   45]
 [ 491  147  529  733]
 [ 105   49   46 1700]]"
YES,NO,NO,Unigrams,0.9005,0.849078947368421,0.9003156800904906,0.8476425299218949,"[[26857  1087  1212   844]
 [  558 28701   347   394]
 [  971   595 25964  2470]
 [  995   502  1965 26538]]","[[1660   87   89   64]
 [  53 1782   22   43]
 [ 157   70 1386  287]
 [  96   57  122 1625]]"
YES,NO,NO,Bigrams,0.9735583333333333,0.6643421052631578,0.9735642517910509,0.6340062373975831,"[[28897   377   504   222]
 [   91 29702   156    51]
 [  131   132 29042   695]
 [  141    77   596 29186]]","[[1534  138   21  207]
 [ 123 1465    7  305]
 [ 427  321  444  708]
 [ 130  115   49 1606]]"
YES,NO,NO,Both,0.9563916666666666,0.7569736842105264,0.9563376766291853,0.7254940970811569,"[[28164   683   775   378]
 [  177 29635    91    97]
 [  311   238 28296  1155]
 [  314   137   877 28672]]","[[1710   83   24   83]
 [  57 1795    3   45]
 [ 509  143  537  711]
 [  91   52   46 1711]]"
YES,NO,YES,Unigrams,0.9016916666666667,0.8465789473684211,0.9015474072408045,0.8452582402678624,"[[26954  1030  1219   797]
 [  600 28637   388   375]
 [  998   526 26108  2368]
 [ 1024   487  1985 26504]]","[[1663   84   85   68]
 [  59 1772   25   44]
 [ 163   63 1384  290]
 [  97   53  135 1615]]"
YES,NO,YES,Bigrams,0.9795416666666666,0.6240789473684211,0.9795651184399443,0.5960037149551203,"[[29114   272   440   174]
 [   34 29736   204    26]
 [   64    45 29301   590]
 [   83    34   489 29394]]","[[1427  110   20  343]
 [  64 1235   11  590]
 [ 357  388  402  753]
 [  82   88   51 1679]]"
YES,NO,YES,Both,0.9602083333333333,0.7485526315789474,0.960174809218936,0.7133055132294575,"[[28300   630   745   325]
 [  141 29652   112    95]
 [  266   173 28505  1056]
 [  291   120   821 28768]]","[[1708   81   22   89]
 [  60 1790    4   46]
 [ 548  128  481  743]
 [  96   51   43 1710]]"
